query_id,query_number,agent_category,answer_key_status,included_in_final_accuracy,evaluation_split,adjudication_scope,verdict,final_score_for_accuracy,answer_correctness,answer_relevancy,numeric_f1,required_claim_recall,lexical_reference_similarity,unit_consistency,contexts_available,num_contexts,faithfulness,context_precision,context_recall,context_sufficiency,context_utilization,rag_composite,notes
R4,12,Research Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,FAIL,0.480474176423177,0.4675577574935496,0.5536672170243992,0.36363636363636365,0.484947630105794,0.3188405797101449,1.0,True,5,0.6666666666666666,0.9166666666666666,0.13924050632911392,0.13924050632911392,0.3220338983050847,0.4367696488593292,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
P1,13,Prediction Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,PASS,0.95,0.719280701754386,0.5290723981900453,0.6666666666666666,0.9450877192982456,0.5066666666666667,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; P1 calibrated: separates score effect from rank prediction and avoids old coefficient.
P2,14,Prediction Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,PASS,1.0,0.31926063264221155,0.6061904761904762,0.3636363636363636,0.43681818181818177,0.3684210526315789,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; P2 calibrated: correct two-period 2025-to-2027 projection present.
P3,15,Prediction Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,PASS,0.97,0.8357533983451536,0.7196465696465697,0.8888888888888888,0.9356547619047618,0.4255319148936171,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; P3 calibrated: correct regional delta and coefficient impact present.
P4,16,Prediction Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,FAIL,0.25105571120949227,0.20118661431576043,0.5336472602739727,,0.48645365504061155,0.2061855670103093,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
S1,17,Synthesis Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PASS,0.8315510446039477,0.8411410427807486,0.49656132127293373,0.7142857142857143,0.9432142857142857,0.3764705882352941,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
S2,18,Synthesis Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.861583388040105,0.3756864640883978,0.5813335521604203,0.0,0.955,0.2762430939226519,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
S3,19,Synthesis Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PASS,0.7995651324020017,0.3958181818181818,0.43553325688073397,0.0,0.9209090909090909,0.49,1.0,True,2,1.0,1.0,0.5045871559633027,0.5045871559633027,0.45054945054945056,0.6919447524952111,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
S4,20,Synthesis Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.82,0.7478071895424836,0.5241440568475453,0.9743589743589743,0.5810364145658263,0.2962962962962963,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
E1,21,Ethics Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,FAIL,0.47300474392290615,0.18148296645702303,0.6178523090249581,,0.42472222222222217,0.2188679245283019,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
E2,22,Ethics Agent,CLEAN,True,final_accuracy,FINAL,PARTIAL,0.5375504753183324,0.39669391687310757,0.520405982905983,0.5,0.5432653061224489,0.2658959537572254,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
E3,23,Ethics Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,PASS,0.7504933954933956,0.755,0.381973581973582,,0.8733333333333333,0.4,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
E4,24,Ethics Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PARTIAL,0.5678263555046092,0.5707286621148431,0.5513799513799513,0.9743589743589743,0.12844418925301276,0.1718213058419244,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
T1,25,Text Mining Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PASS,0.847823974709501,0.8944866310160428,0.5834022556390978,0.9743589743589743,0.8413903743315507,0.6666666666666666,1.0,True,2,1.0,1.0,0.7571428571428571,0.7571428571428571,0.7205882352941176,0.8469747899159664,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
T2,26,Text Mining Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,PASS,0.82,0.7324020153608002,0.6518382352941177,1.0,0.466203560371517,0.46153846153846156,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
T3,27,Text Mining Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PASS,0.8081379971942564,0.7981672297297296,0.4588019887770259,,0.9245833333333333,0.4189189189189189,1.0,True,2,1.0,1.0,0.6986301369863014,0.6986301369863014,0.4533333333333333,0.7701187214611872,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
T4,28,Text Mining Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,PASS,0.7863562091503268,0.72390560875513,0.6218954248366013,,0.8411764705882352,0.372093023255814,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
